Symbol
360ONE.NS
ABB.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
ABCAPITAL.NS
ALKEM.NS
AMBER.NS
AMBUJACEM.NS
ANGELONE.NS
APLAPOLLO.NS
APOLLOHOSP.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
ATHERENERG.NS
AUBANK.NS
AUROPHARMA.NS
DMART.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BAJAJHLDNG.NS
BANDHANBNK.NS
BANKBARODA.NS
BANKINDIA.NS
MAHABANK.NS
BDL.NS
BEL.NS
BHARATFORG.NS
BHEL.NS
BPCL.NS
BHARTIARTL.NS
BIOCON.NS
BLUESTARCO.NS
BOSCHLTD.NS
BRITANNIA.NS
BSE.NS
CANBK.NS
CDSL.NS
CGPOWER.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COCHINSHIP.NS
COFORGE.NS
COLPAL.NS
CAMS.NS
CONCOR.NS
CROMPTON.NS
CUMMINSIND.NS
DABUR.NS
DELHIVERY.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DRREDDY.NS
EICHERMOT.NS
ETERNAL.NS
FORCEMOT.NS
FORTIS.NS
NYKAA.NS
GAIL.NS
GVT&D.NS
GLENMARK.NS
GMRAIRPORT.NS
GODFRYPHLP.NS
GODREJCP.NS
GODREJPROP.NS
GRASIM.NS
HAVELLS.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HAL.NS
HINDPETRO.NS
HINDUNILVR.NS
HINDZINC.NS
POWERINDIA.NS
HYUNDAI.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDFCFIRSTB.NS
INDIANB.NS
IEX.NS
IOC.NS
IRFC.NS
IREDA.NS
INDUSTOWER.NS
INDUSINDBK.NS
NAUKRI.NS
INFY.NS
INOXWIND.NS
INDIGO.NS
ITC.NS
JINDALSTEL.NS
JIOFIN.NS
JSWENERGY.NS
JSWSTEEL.NS
JUBLFOOD.NS
KALYANKJIL.NS
KAYNES.NS
KEI.NS
KFINTECH.NS
KOTAKBANK.NS
KPITTECH.NS
LTF.NS
LT.NS
LAURUSLABS.NS
LICHSGFIN.NS
LICI.NS
LODHA.NS
LTM.NS
LUPIN.NS
M&M.NS
MANAPPURAM.NS
MANKIND.NS
MARICO.NS
MARUTI.NS
MFSL.NS
MAXHEALTH.NS
MAZDOCK.NS
MOTILALOFS.NS
MPHASIS.NS
MCX.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NBCC.NS
NESTLEIND.NS
NHPC.NS
NAM-INDIA.NS
NMDC.NS
NTPC.NS
OBEROIRLTY.NS
ONGC.NS
OIL.NS
PAYTM.NS
OFSS.NS
PAGEIND.NS
PATANJALI.NS
POLICYBZR.NS
PERSISTENT.NS
PETRONET.NS
PGEL.NS
PIIND.NS
PIDILITIND.NS
PNBHOUSING.NS
POLYCAB.NS
PFC.NS
POWERGRID.NS
PREMIERENE.NS
PRESTIGE.NS
PNB.NS
RADICO.NS
RVNL.NS
RBLBANK.NS
RECLTD.NS
RELIANCE.NS
SAGILITY.NS
MOTHERSON.NS
SBICARD.NS
SBILIFE.NS
SHREECEM.NS
SHRIRAMFIN.NS
SIEMENS.NS
SOLARINDS.NS
SONACOMS.NS
SRF.NS
SBIN.NS
SAIL.NS
SUNPHARMA.NS
SUPREMEIND.NS
SUZLON.NS
SWIGGY.NS
TCS.NS
TATACONSUM.NS
TATAELXSI.NS
TMPV.NS
TATAPOWER.NS
TATASTEEL.NS
TECHM.NS
FEDERALBNK.NS
INDHOTEL.NS
PHOENIXLTD.NS
TITAN.NS
TORNTPHARM.NS
TRENT.NS
TIINDIA.NS
TVSMOTOR.NS
ULTRACEMCO.NS
UNIONBANK.NS
UNITDSPR.NS
UNOMINDA.NS
UPL.NS
VBL.NS
VEDL.NS
VMM.NS
VOLTAS.NS
WAAREEENER.NS
WIPRO.NS
YESBANK.NS
ZYDUSLIFE.NS
